portfolio,mean,std,min,max,skew,ex_kurt,jb,jb_p,lb12,lb12_p,lb_sq12,lb_sq12_p,arch5,arch5_p,adf,adf_lag
SMALL.LoBM,0.9743094560669459,7.4320950118226925,-32.3946,59.5683,0.5657960779286529,6.923584816505418,2450.5729326940773,0.0,43.958899728265635,1.551972903494505e-05,435.1707995920372,1.32702088301746e-85,162.2422023553353,3.293240077322153e-33,-9.614903358578031,12
ME1.BM2,1.236130209205021,6.941794858952916,-32.0012,61.2364,1.104548514276892,13.406205647808694,9191.863298571621,0.0,75.66859748992069,2.7459663370292132e-11,669.505903621318,1.4777362729374523e-135,195.33126165210493,2.831292769970067e-40,-9.72410252020006,12
SMALL.HiBM,1.420314728033473,8.080304275529668,-35.3242,83.3873,1.9600183589573974,20.854561631008927,22420.1632202568,0.0,87.94167329113276,1.2343090303772258e-13,649.7125017017588,2.527627265106493e-131,194.32218617543904,4.653322372710947e-40,-9.368208748593972,12
BIG.LoBM,0.9581884518828451,5.266029297919823,-28.2664,33.6857,-0.12801525093960137,5.203276168742752,1351.3276347828346,3.655379612041024e-294,24.111492397192688,0.019642223558009732,477.2617309098341,1.5224418641643827e-94,119.71445307447495,3.6075518717078774e-24,-9.174615057301777,12
ME2.BM2,0.9622049372384938,5.601583931987711,-28.5717,52.2845,1.160467260349819,17.200981313055486,15000.26215591016,0.0,66.3494778462051,1.5334576106248695e-09,845.2848528040314,3.195705100167941e-173,195.7760991134705,2.2743450239301337e-40,-9.222598864676078,12
BIG.HiBM,1.2126323849372385,7.0808187876247635,-35.1664,67.7486,1.443344833529864,17.44872320020506,15574.381152865997,0.0,54.86543535550849,1.9132667698020672e-07,798.8447005854578,2.927620950788148e-163,245.27701801182837,5.667314765835787e-51,-9.333367968467961,12
